,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,Kevin Durant,BKN,34,30,18,12,1101.3,911,326,577,56.5,51,141,36.2,208,225,92.4,10,188,198,158,107,22,49,71,1492,2,1,67
1,Luka Doncic,DAL,23,27,15,12,988.9,890,305,611,49.9,78,225,34.7,202,277,72.9,22,203,225,234,98,43,17,78,1593,14,6,93
2,Jayson Tatum,BOS,24,29,21,8,1073.9,876,288,613,47.0,96,268,35.8,204,237,86.1,34,204,238,118,80,32,27,63,1436,13,0,216
3,Shai Gilgeous-Alexander,OKC,24,27,10,17,962.6,842,281,557,50.4,28,83,33.7,252,271,93.0,23,104,127,157,92,46,26,70,1354,1,0,10
4,Donovan Mitchell,CLE,26,27,18,9,996.8,796,281,559,50.3,106,250,42.4,128,144,88.9,25,79,104,123,82,37,10,69,1164,2,0,129
5,Devin Booker,PHX,26,28,18,10,996.1,784,282,590,47.8,67,180,37.2,153,180,85.0,23,111,134,160,70,26,11,77,1226,3,0,130
6,Stephen Curry,GSW,34,26,14,12,894.0,779,262,524,50.0,131,302,43.4,124,135,91.9,16,155,171,177,81,27,9,54,1277,7,1,145
7,Jaylen Brown,BOS,26,29,20,9,1038.9,767,286,577,49.6,70,207,33.8,125,154,81.2,31,185,216,102,92,34,14,80,1231,6,0,114
8,DeMar DeRozan,CHI,33,29,11,18,1024.1,750,262,520,50.4,13,42,31.0,213,239,89.1,13,130,143,136,60,24,12,77,1174,1,0,-14
9,Giannis Antetokounmpo,MIL,28,24,17,7,785.9,734,266,505,52.7,20,77,26.0,182,290,62.8,49,218,267,128,88,21,23,86,1290,16,1,91
10,Trae Young,ATL,24,27,13,14,963.4,728,234,572,40.9,55,191,28.8,205,229,89.5,19,55,74,266,103,20,4,40,1185,14,0,-7
11,Anthony Edwards,MIN,21,30,15,15,1093.4,687,246,539,45.6,77,212,36.3,118,158,74.7,21,155,176,129,96,56,11,85,1197,3,0,11
12,Anthony Davis,LAL,29,25,11,14,835.7,685,255,430,59.3,9,31,29.0,166,201,82.6,78,224,302,66,47,33,53,68,1357,18,0,48
13,Julius Randle,NYK,28,30,17,13,1013.5,676,224,492,45.5,71,213,33.3,157,198,79.3,60,214,274,107,81,22,6,93,1168,13,0,24
14,Joel Embiid,PHI,28,20,11,9,711.2,666,221,413,53.5,22,65,33.8,202,238,84.9,36,161,197,93,84,24,32,62,1126,12,0,123
15,Bojan Bogdanovic,DET,33,31,8,23,964.1,659,217,437,49.7,80,189,42.3,145,161,90.1,17,92,109,76,72,17,1,53,886,0,0,-171
16,Nikola Jokic,DEN,27,26,17,9,855.2,655,244,393,62.1,21,66,31.8,146,182,80.2,56,228,284,235,95,39,18,73,1424,20,5,205
17,Anfernee Simons,POR,23,28,16,12,1008.7,654,231,515,44.9,111,287,38.7,81,90,90.0,8,75,83,121,62,23,6,66,960,0,0,1
18,Kristaps Porzingis,WAS,27,29,10,19,950.4,649,218,459,47.5,53,160,33.1,160,200,80.0,59,198,257,77,63,29,43,88,1226,10,0,-5
19,Lauri Markkanen,UTA,25,29,16,13,982.6,646,230,435,52.9,79,188,42.0,107,127,84.3,60,182,242,64,60,16,19,63,1077,11,0,99
20,Ja Morant,MEM,23,24,17,7,768.9,641,224,494,45.3,41,121,33.9,152,207,73.4,32,128,160,184,86,27,6,45,1122,9,3,163
